run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_free_git_1,nano_free_git,1,coop_git,claude-sonnet-5,claude_code,coop,free,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,14,0,True,20,0,True,14,0,,True,20,0,,318.40856,1.6413155999999995,48,Submitted,20,0.4834689,40,7016,821783,21929,248,Submitted,28,1.1578466999999997,50,8133,1332899,105972,248,6,3,1065,3,1413,,,,,,,,,,,,,,,,2026-07-07T15:13:08.394893,nano_free_git_1/coop/dottxt_ai_outlines_task/1371/f1_f2,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;result.json
nano_free_git_1,nano_free_git,1,coop_git,claude-sonnet-5,claude_code,coop,free,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,88,0,True,80,0,False,0,0,,False,0,0,,165.822054,0.7196138999999999,38,Submitted,19,0.33811830000000004,38,3035,695851,13954,14,Submitted,19,0.3814955999999999,38,4211,732082,16432,14,4,2,356,2,316,,,,,,,,,,,,,,,,2026-07-07T15:11:28.757417,nano_free_git_1/coop/dottxt_ai_outlines_task/1655/f8_f10,13,agent10.patch;agent10_traj.json;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;result.json
nano_free_git_1,nano_free_git,1,coop_git,claude-sonnet-5,claude_code,coop,free,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,False,11,1,,1101.619831,4.1213628,121,Submitted,63,2.1361223999999996,124,19505,4112438,101574,251,Submitted,58,1.9852404,112,23926,3950008,73502,251,5,3,1562,2,1507,,,,,,,,,,,,,,,,2026-07-07T15:21:35.513284,nano_free_git_1/coop/dspy_task/8394/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_1,nano_free_git,1,coop_git,claude-sonnet-5,claude_code,coop,free,,dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,11,1,,True,22,0,,729.209952,2.6499593999999993,79,Submitted,42,1.1385305999999997,82,11515,2305392,45657,202,Submitted,37,1.5114287999999998,4618,23795,2516986,64259,202,6,3,1032,3,996,,,,,,,,,,,,,,,,2026-07-07T15:15:14.632863,nano_free_git_1/coop/dspy_task/8587/f4_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_1,nano_free_git,1,coop_git,claude-sonnet-5,claude_code,coop,free,,dspy_task,8635,f1_f3,1,3,True,applied,applied,identical,skip-merge-identical,True,False,functional_fail,True,7,0,False,4,1,True,7,0,,False,4,1,,276.577008,1.5999321000000002,68,Submitted,38,0.9351098999999999,74,9491,1887963,37689,177,Submitted,30,0.6648222000000001,58,6119,1289524,31001,177,7,3,973,4,928,,,,,,,,,,,,,,,,2026-07-07T15:20:42.640334,nano_free_git_1/coop/dspy_task/8635/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_free_git_1,nano_free_git,1,coop_git,claude-sonnet-5,claude_code,coop,free,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,26,0,True,27,0,True,26,0,,True,27,0,,312.350215,1.9662714,75,Submitted,36,0.9433076999999999,70,12192,1771139,38146,99,Submitted,39,1.0229637,76,15233,1833429,40702,101,5,2,1026,3,900,,,,,,,,,,,,,,,,2026-07-07T15:23:56.788614,nano_free_git_1/coop/huggingface_datasets_task/3997/f1_f5,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_1,nano_free_git,1,coop_git,claude-sonnet-5,claude_code,coop,free,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,43,0,True,44,0,True,43,0,,True,44,0,,259.364477,1.3578161999999998,54,Submitted,26,0.6580328999999999,48,6428,1171683,34994,76,Submitted,28,0.6997832999999999,52,8796,1263051,31462,76,6,3,994,3,1227,,,,,,,,,,,,,,,,2026-07-07T15:23:55.199320,nano_free_git_1/coop/llama_index_task/17070/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_free_git_1,nano_free_git,1,coop_git,claude-sonnet-5,claude_code,coop,free,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,13,0,True,13,0,True,13,0,,True,13,0,,298.574018,1.1668296,52,Submitted,25,0.6142527,50,9241,1048859,26805,74,Submitted,27,0.5525769,54,6309,1080213,22286,72,6,3,884,3,766,,,,,,,,,,,,,,,,2026-07-07T15:28:27.527188,nano_free_git_1/coop/llama_index_task/17244/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_1,nano_free_git,1,coop_git,claude-sonnet-5,claude_code,coop,free,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,identical,skip-merge-identical,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,627.579157,1.2327512999999999,58,Submitted,26,0.5424807,52,5706,1054949,23375,113,Submitted,32,0.6902706,62,6174,1374282,30865,113,4,2,483,2,370,,,,,,,,,,,,,,,,2026-07-07T15:34:02.278659,nano_free_git_1/coop/llama_index_task/18813/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_free_git_1,nano_free_git,1,coop_git,claude-sonnet-5,claude_code,coop,free,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,1,0,True,1,0,True,1,0,,True,1,0,,167.099325,1.2823851,49,Submitted,21,0.6329811000000001,40,9467,989727,32323,81,Submitted,28,0.649404,54,6194,1263540,29545,81,5,2,391,3,726,,,,,,,,,,,,,,,,2026-07-07T15:32:06.366401,nano_free_git_1/coop/openai_tiktoken_task/0/f2_f6,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
nano_free_git_1,nano_free_git,1,coop_git,claude-sonnet-5,claude_code,coop,free,,pallets_click_task,2068,f1_f6,1,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,67,1,,True,72,0,,344.431103,3.0520983,99,Submitted,47,1.4134304999999998,92,15148,2829435,56184,219,Submitted,52,1.6386678000000003,102,17314,3423226,58614,221,3,2,565,1,167,,,,,,,,,,,,,,,,2026-07-07T15:36:44.179331,nano_free_git_1/coop/pallets_click_task/2068/f1_f6,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
