run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_struct_15,nano_struct,15,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'instructions': None, 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,14,0,,True,20,0,,387.872555,0.8496302999999998,37,Submitted,14,0.35851949999999994,26,7423,516595,15353,197,Submitted,23,0.4911107999999999,46,7803,927806,15931,60,9,3,1139,6,2052,,,1,2,,,,,,1,,,5,,,2026-07-07T01:34:40.372336,nano_struct_15/coop/dottxt_ai_outlines_task/1371/f1_f2,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;result.json
nano_struct_15,nano_struct,15,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'instructions': None, 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,clean,naive,True,True,pass,True,88,0,True,80,0,True,88,0,,True,80,0,,115.801788,0.29757239999999996,20,Submitted,9,0.1299408,16,1583,273846,3999,11,Submitted,11,0.1676316,20,2135,350562,5063,14,4,2,318,2,283,,,,2,,,,,,,,,2,,,2026-07-07T01:27:59.433149,nano_struct_15/coop/dottxt_ai_outlines_task/1655/f8_f10,13,agent10.patch;agent10_traj.json;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;result.json
nano_struct_15,nano_struct,15,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'instructions': None, 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,True,15,0,,348.500667,1.3750073999999999,51,Submitted,26,0.6055368,1897,9042,1015986,26570,144,Submitted,25,0.7694705999999999,46,14721,1149832,33928,211,5,3,1019,2,829,,,1,2,,,,,,,,,2,,,2026-07-07T01:38:55.992031,nano_struct_15/coop/dspy_task/8394/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_struct_15,nano_struct,15,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'instructions': None, 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,8,1,,True,22,0,,420.437391,1.1337821999999997,48,Submitted,25,0.4992716999999999,42,7994,890639,18674,82,Submitted,23,0.6345105,42,12530,980515,25380,152,5,3,820,2,445,,,,2,,,,1,,,,,2,,,2026-07-07T01:36:59.236902,nano_struct_15/coop/dspy_task/8587/f4_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_struct_15,nano_struct,15,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'instructions': None, 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",dspy_task,8635,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,7,0,,False,4,1,,469.712405,0.8189478,40,Submitted,21,0.4705296,30,6434,654092,29617,130,Submitted,19,0.3484182,34,4945,625704,14405,66,4,2,681,2,490,,,,2,,,,,,,,,2,,,2026-07-07T01:39:04.706227,nano_struct_15/coop/dspy_task/8635/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_struct_15,nano_struct,15,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'instructions': None, 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,25,1,,True,27,0,,252.220076,0.8373006000000001,42,Submitted,23,0.45932970000000006,46,6828,889139,15005,69,Submitted,19,0.3779709,36,6538,687083,12278,33,6,3,905,3,634,,,1,2,,,,1,,,,,2,,,2026-07-07T01:40:19.598382,nano_struct_15/coop/huggingface_datasets_task/3997/f1_f5,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_struct_15,nano_struct,15,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'instructions': None, 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",llama_index_task,17070,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,43,0,,True,44,0,,247.578224,0.6304464000000001,26,Submitted,14,0.2943108,26,3418,524736,14257,20,Submitted,12,0.33613560000000003,22,6016,464852,17729,71,4,2,497,2,456,,,,2,,,,,,1,,,1,,,2026-07-07T01:41:32.482663,nano_struct_15/coop/llama_index_task/17070/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_struct_15,nano_struct,15,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'instructions': None, 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,13,0,,True,13,0,,216.008734,0.6982503000000001,35,Submitted,18,0.4059612000000001,187,6148,666114,18891,58,Submitted,17,0.2922891,32,4152,580717,9283,32,5,2,743,3,1017,,,,2,,,,1,,,,,2,,,2026-07-07T01:42:23.772588,nano_struct_15/coop/llama_index_task/17244/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_struct_15,nano_struct,15,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'instructions': None, 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",llama_index_task,18813,f1_f3,1,3,False,applied,applied,clean,naive,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,164.809193,0.5333181,30,Submitted,15,0.23050290000000004,26,2758,468463,8086,64,Submitted,15,0.30281519999999995,28,3953,551994,12973,68,4,2,513,2,455,,,1,2,,,,,,,,,1,,,2026-07-07T01:45:13.420987,nano_struct_15/coop/llama_index_task/18813/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_struct_15,nano_struct,15,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'instructions': None, 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,1,0,,True,1,0,,142.414164,0.47970599999999997,21,Submitted,12,0.2879676,18,5426,371592,15841,56,Submitted,9,0.19173839999999998,12,3427,229378,11914,49,4,2,401,2,394,,,,2,,,,,,,,,2,,,2026-07-07T01:46:29.177103,nano_struct_15/coop/openai_tiktoken_task/0/f2_f6,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
nano_struct_15,nano_struct,15,coop_nogit,claude-sonnet-5,claude_code,coop,structured,"{'name': 'semi_structured_v1', 'instructions': None, 'fields': [{'name': 'type', 'required': True, 'enum': ['CLAIM', 'INTENT', 'QUESTION', 'ANSWER', 'STATUS'], 'description': 'the kind of message'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files/regions you will touch (declare early to avoid clobbering peers)'}, {'name': 'summary', 'required': True, 'enum': None, 'description': 'one-sentence intent'}, {'name': 'blocked_on', 'required': False, 'enum': None, 'description': 'anything you need from a peer before you can proceed'}]}",pallets_click_task,2068,f1_f6,1,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,68,0,,True,72,0,,338.993639,1.2265149000000002,49,Submitted,29,0.7048038000000001,56,8231,1402296,26747,76,Submitted,20,0.5217111000000001,36,7923,853587,24447,129,5,3,1185,2,830,,,1,2,,,,1,,,,,1,,,2026-07-07T01:49:03.820794,nano_struct_15/coop/pallets_click_task/2068/f1_f6,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
