run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_nomsg_git_3,nano_nomsg_git,3,coop_git,claude-sonnet-5,claude_code,coop,off,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,14,0,,True,20,0,,140.740945,0.4805073,21,Submitted,10,0.25271520000000003,20,5654,377264,9111,212,Submitted,11,0.2277921,22,3707,397517,8811,64,0,,,,,,,,,,,,,,,,,,,,2026-07-07T12:49:43.514195,nano_nomsg_git_3/coop/dottxt_ai_outlines_task/1371/f1_f2,11,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_3,nano_nomsg_git,3,coop_git,claude-sonnet-5,claude_code,coop,off,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,clean,naive,True,False,functional_fail,False,86,2,True,80,0,False,86,2,,True,80,0,,82.255834,0.1992492,12,Submitted,7,0.12089249999999999,14,1715,232625,4223,15,Submitted,5,0.0783567,10,813,165419,2751,14,0,,,,,,,,,,,,,,,,,,,,2026-07-07T12:48:39.833160,nano_nomsg_git_3/coop/dottxt_ai_outlines_task/1655/f8_f10,11,agent10.patch;agent10_traj.json;agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_3,nano_nomsg_git,3,coop_git,claude-sonnet-5,claude_code,coop,off,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,False,11,1,,623.562344,1.0851659999999999,45,Submitted,15,0.3366516,28,5833,553062,13859,120,Submitted,30,0.7485143999999999,58,12679,1356858,25183,188,0,,,,,,,,,,,,,,,,,,,,2026-07-07T12:57:16.986500,nano_nomsg_git_3/coop/dspy_task/8394/f3_f5,11,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_3,nano_nomsg_git,3,coop_git,claude-sonnet-5,claude_code,coop,off,,dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,21,0,,True,22,0,,570.154409,1.2661829999999998,46,Submitted,15,0.39094559999999995,30,6001,616742,19303,80,Submitted,31,0.8752373999999999,62,14512,1528698,33127,144,0,,,,,,,,,,,,,,,,,,,,2026-07-07T12:52:53.795237,nano_nomsg_git_3/coop/dspy_task/8587/f4_f5,11,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_3,nano_nomsg_git,3,coop_git,claude-sonnet-5,claude_code,coop,off,,dspy_task,8635,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,7,0,,True,13,0,,346.832618,0.6219759,28,Submitted,18,0.45517260000000004,36,5421,787912,22896,133,Submitted,10,0.1668033,20,2860,339371,3672,63,0,,,,,,,,,,,,,,,,,,,,2026-07-08T01:40:29.647719,nano_nomsg_git_3/coop/dspy_task/8635/f1_f3,11,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_3,nano_nomsg_git,3,coop_git,claude-sonnet-5,claude_code,coop,off,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,26,0,,True,27,0,,239.989633,0.5837661000000001,29,Submitted,19,0.4051404,38,5058,762668,16726,73,Submitted,10,0.1786257,20,2985,333149,5641,29,0,,,,,,,,,,,,,,,,,,,,2026-07-07T12:54:29.013385,nano_nomsg_git_3/coop/huggingface_datasets_task/3997/f1_f5,11,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_3,nano_nomsg_git,3,coop_git,claude-sonnet-5,claude_code,coop,off,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,43,0,,True,44,0,,253.477263,0.4177575,16,Submitted,9,0.2240823,18,2561,345851,13643,20,Submitted,7,0.1936752,14,4658,280604,6597,68,0,,,,,,,,,,,,,,,,,,,,2026-07-07T12:59:29.070978,nano_nomsg_git_3/coop/llama_index_task/17070/f1_f3,11,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_3,nano_nomsg_git,3,coop_git,claude-sonnet-5,claude_code,coop,off,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,13,0,,True,13,0,,293.522912,0.7483035,34,Submitted,18,0.3852207,36,5315,701959,15800,56,Submitted,16,0.3630828,32,6241,621166,13837,32,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:00:45.308022,nano_nomsg_git_3/coop/llama_index_task/17244/f3_f5,11,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_3,nano_nomsg_git,3,coop_git,claude-sonnet-5,claude_code,coop,off,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,clean,naive,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,215.042902,0.4234866,23,Submitted,11,0.195426,22,2334,380360,7707,64,Submitted,12,0.2280606,24,3203,422112,8885,63,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:02:13.249153,nano_nomsg_git_3/coop/llama_index_task/18813/f1_f3,11,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_3,nano_nomsg_git,3,coop_git,claude-sonnet-5,claude_code,coop,off,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,1,0,,True,1,0,,134.881213,0.3692355,14,Submitted,8,0.20811570000000001,16,4908,321179,6349,72,Submitted,6,0.16111979999999998,12,2199,220156,10342,57,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:04:14.012107,nano_nomsg_git_3/coop/openai_tiktoken_task/0/f2_f6,11,agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
nano_nomsg_git_3,nano_nomsg_git,3,coop_git,claude-sonnet-5,claude_code,coop,off,,pallets_click_task,2068,f1_f6,1,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,68,0,,True,72,0,,252.346222,1.0722245999999998,38,Submitted,20,0.6278988,38,6694,1072656,34263,130,Submitted,18,0.4443257999999999,36,8373,724376,16885,135,0,,,,,,,,,,,,,,,,,,,,2026-07-07T13:05:45.821362,nano_nomsg_git_3/coop/pallets_click_task/2068/f1_f6,11,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
