run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_hs_git_2,nano_hs_git,2,coop_git,claude-sonnet-5,claude_code,coop,structured,"{'name': 'plan_handshake_v1', 'instructions': ""Coordinate in TWO STRICT PHASES. Do NOT edit any file until Phase 1 is complete.\n\nPHASE 1 — PLAN & HANDSHAKE (messages only, NO editing yet):\n1. Immediately send a PROPOSE: `my_files` = the files YOU will own (from your\n   feature), `your_files` = the files you think your PARTNER should own. Keep the\n   two sets DISJOINT.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their messages.\n3. If their split gives you a disjoint set you can implement your feature with,\n   reply ACCEPT (echo the agreed `my_files`). Otherwise reply REVISE with a better\n   split and `coop-await` again. Repeat until you have RECEIVED an ACCEPT from your\n   partner AND sent your own ACCEPT.\n4. Only after you have received your partner's ACCEPT may you begin editing.\n\nPHASE 2 — IMPLEMENT:\n5. Edit ONLY the files in your agreed `my_files`. If you discover you genuinely must\n   touch a file your partner owns, send a REVISE and re-agree BEFORE touching it.\n6. Send DONE when your implementation is finished.\n\nThe whole point: agree a disjoint file split up front so your patches never collide\nat merge time.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['PROPOSE', 'ACCEPT', 'REVISE', 'DONE'], 'description': 'handshake message type'}, {'name': 'my_files', 'required': True, 'enum': None, 'description': 'comma-separated files YOU will own and edit'}, {'name': 'your_files', 'required': False, 'enum': None, 'description': 'comma-separated files you propose your PARTNER owns'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale'}]}",dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,14,0,True,20,0,True,14,0,,True,20,0,,285.69929,1.6352261999999997,61,Submitted,30,0.8474300999999999,6807,11010,1367337,41943,237,Submitted,31,0.7877960999999999,6811,8319,1378287,38182,237,7,4,1939,3,2005,2,,,,,3,,,2,,,,,,,2026-07-07T21:25:46.240211,nano_hs_git_2/coop/dottxt_ai_outlines_task/1371/f1_f2,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;result.json
nano_hs_git_2,nano_hs_git,2,coop_git,claude-sonnet-5,claude_code,coop,structured,"{'name': 'plan_handshake_v1', 'instructions': ""Coordinate in TWO STRICT PHASES. Do NOT edit any file until Phase 1 is complete.\n\nPHASE 1 — PLAN & HANDSHAKE (messages only, NO editing yet):\n1. Immediately send a PROPOSE: `my_files` = the files YOU will own (from your\n   feature), `your_files` = the files you think your PARTNER should own. Keep the\n   two sets DISJOINT.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their messages.\n3. If their split gives you a disjoint set you can implement your feature with,\n   reply ACCEPT (echo the agreed `my_files`). Otherwise reply REVISE with a better\n   split and `coop-await` again. Repeat until you have RECEIVED an ACCEPT from your\n   partner AND sent your own ACCEPT.\n4. Only after you have received your partner's ACCEPT may you begin editing.\n\nPHASE 2 — IMPLEMENT:\n5. Edit ONLY the files in your agreed `my_files`. If you discover you genuinely must\n   touch a file your partner owns, send a REVISE and re-agree BEFORE touching it.\n6. Send DONE when your implementation is finished.\n\nThe whole point: agree a disjoint file split up front so your patches never collide\nat merge time.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['PROPOSE', 'ACCEPT', 'REVISE', 'DONE'], 'description': 'handshake message type'}, {'name': 'my_files', 'required': True, 'enum': None, 'description': 'comma-separated files YOU will own and edit'}, {'name': 'your_files', 'required': False, 'enum': None, 'description': 'comma-separated files you propose your PARTNER owns'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale'}]}",dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,identical,skip-merge-identical,True,False,functional_fail,False,86,2,True,80,0,False,86,2,,True,80,0,,194.083005,0.9500864999999998,44,Submitted,21,0.4708247999999999,4415,5394,801806,22688,23,Submitted,23,0.4792617,4008,4770,876979,22099,23,8,4,837,4,1243,4,,,,,2,,,2,,,,,,,2026-07-08T01:49:25.159838,nano_hs_git_2/coop/dottxt_ai_outlines_task/1655/f8_f10,13,agent10.patch;agent10_traj.json;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;result.json
nano_hs_git_2,nano_hs_git,2,coop_git,claude-sonnet-5,claude_code,coop,structured,"{'name': 'plan_handshake_v1', 'instructions': ""Coordinate in TWO STRICT PHASES. Do NOT edit any file until Phase 1 is complete.\n\nPHASE 1 — PLAN & HANDSHAKE (messages only, NO editing yet):\n1. Immediately send a PROPOSE: `my_files` = the files YOU will own (from your\n   feature), `your_files` = the files you think your PARTNER should own. Keep the\n   two sets DISJOINT.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their messages.\n3. If their split gives you a disjoint set you can implement your feature with,\n   reply ACCEPT (echo the agreed `my_files`). Otherwise reply REVISE with a better\n   split and `coop-await` again. Repeat until you have RECEIVED an ACCEPT from your\n   partner AND sent your own ACCEPT.\n4. Only after you have received your partner's ACCEPT may you begin editing.\n\nPHASE 2 — IMPLEMENT:\n5. Edit ONLY the files in your agreed `my_files`. If you discover you genuinely must\n   touch a file your partner owns, send a REVISE and re-agree BEFORE touching it.\n6. Send DONE when your implementation is finished.\n\nThe whole point: agree a disjoint file split up front so your patches never collide\nat merge time.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['PROPOSE', 'ACCEPT', 'REVISE', 'DONE'], 'description': 'handshake message type'}, {'name': 'my_files', 'required': True, 'enum': None, 'description': 'comma-separated files YOU will own and edit'}, {'name': 'your_files', 'required': False, 'enum': None, 'description': 'comma-separated files you propose your PARTNER owns'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale'}]}",dspy_task,8394,f3_f5,3,5,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,10,0,True,15,0,True,10,0,,True,15,0,,730.302829,2.3349197999999998,78,Submitted,40,0.9607239000000001,9865,9673,1844073,38802,250,Submitted,38,1.3741958999999997,3716,18504,2285953,66617,250,8,4,2499,4,1591,3,,,,,2,,,2,,1,,,,,2026-07-07T21:34:55.446997,nano_hs_git_2/coop/dspy_task/8394/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_hs_git_2,nano_hs_git,2,coop_git,claude-sonnet-5,claude_code,coop,structured,"{'name': 'plan_handshake_v1', 'instructions': ""Coordinate in TWO STRICT PHASES. Do NOT edit any file until Phase 1 is complete.\n\nPHASE 1 — PLAN & HANDSHAKE (messages only, NO editing yet):\n1. Immediately send a PROPOSE: `my_files` = the files YOU will own (from your\n   feature), `your_files` = the files you think your PARTNER should own. Keep the\n   two sets DISJOINT.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their messages.\n3. If their split gives you a disjoint set you can implement your feature with,\n   reply ACCEPT (echo the agreed `my_files`). Otherwise reply REVISE with a better\n   split and `coop-await` again. Repeat until you have RECEIVED an ACCEPT from your\n   partner AND sent your own ACCEPT.\n4. Only after you have received your partner's ACCEPT may you begin editing.\n\nPHASE 2 — IMPLEMENT:\n5. Edit ONLY the files in your agreed `my_files`. If you discover you genuinely must\n   touch a file your partner owns, send a REVISE and re-agree BEFORE touching it.\n6. Send DONE when your implementation is finished.\n\nThe whole point: agree a disjoint file split up front so your patches never collide\nat merge time.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['PROPOSE', 'ACCEPT', 'REVISE', 'DONE'], 'description': 'handshake message type'}, {'name': 'my_files', 'required': True, 'enum': None, 'description': 'comma-separated files YOU will own and edit'}, {'name': 'your_files', 'required': False, 'enum': None, 'description': 'comma-separated files you propose your PARTNER owns'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale'}]}",dspy_task,8587,f4_f5,4,5,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,21,0,True,22,0,True,21,0,,True,22,0,,448.83032,1.7989005,62,Submitted,28,0.7914435000000002,6624,10706,1293125,37174,187,Submitted,34,1.0074569999999998,3714,12959,1742640,46523,187,8,4,1809,4,1958,2,,,,,2,,,2,,2,,,,,2026-07-07T21:28:39.640326,nano_hs_git_2/coop/dspy_task/8587/f4_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_hs_git_2,nano_hs_git,2,coop_git,claude-sonnet-5,claude_code,coop,structured,"{'name': 'plan_handshake_v1', 'instructions': ""Coordinate in TWO STRICT PHASES. Do NOT edit any file until Phase 1 is complete.\n\nPHASE 1 — PLAN & HANDSHAKE (messages only, NO editing yet):\n1. Immediately send a PROPOSE: `my_files` = the files YOU will own (from your\n   feature), `your_files` = the files you think your PARTNER should own. Keep the\n   two sets DISJOINT.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their messages.\n3. If their split gives you a disjoint set you can implement your feature with,\n   reply ACCEPT (echo the agreed `my_files`). Otherwise reply REVISE with a better\n   split and `coop-await` again. Repeat until you have RECEIVED an ACCEPT from your\n   partner AND sent your own ACCEPT.\n4. Only after you have received your partner's ACCEPT may you begin editing.\n\nPHASE 2 — IMPLEMENT:\n5. Edit ONLY the files in your agreed `my_files`. If you discover you genuinely must\n   touch a file your partner owns, send a REVISE and re-agree BEFORE touching it.\n6. Send DONE when your implementation is finished.\n\nThe whole point: agree a disjoint file split up front so your patches never collide\nat merge time.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['PROPOSE', 'ACCEPT', 'REVISE', 'DONE'], 'description': 'handshake message type'}, {'name': 'my_files', 'required': True, 'enum': None, 'description': 'comma-separated files YOU will own and edit'}, {'name': 'your_files', 'required': False, 'enum': None, 'description': 'comma-separated files you propose your PARTNER owns'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale'}]}",dspy_task,8635,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,7,0,,False,4,1,,307.50557,2.2407066,78,Submitted,43,1.2637437,7104,13340,2378359,54804,190,Submitted,35,0.9769629000000001,6798,10011,1729733,47914,190,9,4,2289,5,2452,2,,,,,3,,,2,,2,,,,,2026-07-08T01:45:29.371177,nano_hs_git_2/coop/dspy_task/8635/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_hs_git_2,nano_hs_git,2,coop_git,claude-sonnet-5,claude_code,coop,structured,"{'name': 'plan_handshake_v1', 'instructions': ""Coordinate in TWO STRICT PHASES. Do NOT edit any file until Phase 1 is complete.\n\nPHASE 1 — PLAN & HANDSHAKE (messages only, NO editing yet):\n1. Immediately send a PROPOSE: `my_files` = the files YOU will own (from your\n   feature), `your_files` = the files you think your PARTNER should own. Keep the\n   two sets DISJOINT.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their messages.\n3. If their split gives you a disjoint set you can implement your feature with,\n   reply ACCEPT (echo the agreed `my_files`). Otherwise reply REVISE with a better\n   split and `coop-await` again. Repeat until you have RECEIVED an ACCEPT from your\n   partner AND sent your own ACCEPT.\n4. Only after you have received your partner's ACCEPT may you begin editing.\n\nPHASE 2 — IMPLEMENT:\n5. Edit ONLY the files in your agreed `my_files`. If you discover you genuinely must\n   touch a file your partner owns, send a REVISE and re-agree BEFORE touching it.\n6. Send DONE when your implementation is finished.\n\nThe whole point: agree a disjoint file split up front so your patches never collide\nat merge time.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['PROPOSE', 'ACCEPT', 'REVISE', 'DONE'], 'description': 'handshake message type'}, {'name': 'my_files', 'required': True, 'enum': None, 'description': 'comma-separated files YOU will own and edit'}, {'name': 'your_files', 'required': False, 'enum': None, 'description': 'comma-separated files you propose your PARTNER owns'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale'}]}",huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,26,0,True,27,0,True,26,0,,True,27,0,,362.307404,1.943769,74,Submitted,42,1.0003221000000002,3730,12892,1907727,37239,106,Submitted,32,0.9434468999999998,7128,16322,1446963,40524,106,10,5,2984,5,1968,3,,,,,4,,,2,,1,,,,,2026-07-07T21:36:43.046764,nano_hs_git_2/coop/huggingface_datasets_task/3997/f1_f5,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_hs_git_2,nano_hs_git,2,coop_git,claude-sonnet-5,claude_code,coop,structured,"{'name': 'plan_handshake_v1', 'instructions': ""Coordinate in TWO STRICT PHASES. Do NOT edit any file until Phase 1 is complete.\n\nPHASE 1 — PLAN & HANDSHAKE (messages only, NO editing yet):\n1. Immediately send a PROPOSE: `my_files` = the files YOU will own (from your\n   feature), `your_files` = the files you think your PARTNER should own. Keep the\n   two sets DISJOINT.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their messages.\n3. If their split gives you a disjoint set you can implement your feature with,\n   reply ACCEPT (echo the agreed `my_files`). Otherwise reply REVISE with a better\n   split and `coop-await` again. Repeat until you have RECEIVED an ACCEPT from your\n   partner AND sent your own ACCEPT.\n4. Only after you have received your partner's ACCEPT may you begin editing.\n\nPHASE 2 — IMPLEMENT:\n5. Edit ONLY the files in your agreed `my_files`. If you discover you genuinely must\n   touch a file your partner owns, send a REVISE and re-agree BEFORE touching it.\n6. Send DONE when your implementation is finished.\n\nThe whole point: agree a disjoint file split up front so your patches never collide\nat merge time.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['PROPOSE', 'ACCEPT', 'REVISE', 'DONE'], 'description': 'handshake message type'}, {'name': 'my_files', 'required': True, 'enum': None, 'description': 'comma-separated files YOU will own and edit'}, {'name': 'your_files', 'required': False, 'enum': None, 'description': 'comma-separated files you propose your PARTNER owns'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale'}]}",llama_index_task,17070,f1_f3,1,3,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,43,0,True,44,0,True,43,0,,True,44,0,,400.896101,1.8023103,67,Submitted,34,0.7971666,6793,7839,1471922,36271,77,Submitted,33,1.0051437,6791,13643,1710879,44477,77,11,6,2330,5,2361,2,,,,,4,,,3,,2,,,,,2026-07-08T01:45:28.169244,nano_hs_git_2/coop/llama_index_task/17070/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_hs_git_2,nano_hs_git,2,coop_git,claude-sonnet-5,claude_code,coop,structured,"{'name': 'plan_handshake_v1', 'instructions': ""Coordinate in TWO STRICT PHASES. Do NOT edit any file until Phase 1 is complete.\n\nPHASE 1 — PLAN & HANDSHAKE (messages only, NO editing yet):\n1. Immediately send a PROPOSE: `my_files` = the files YOU will own (from your\n   feature), `your_files` = the files you think your PARTNER should own. Keep the\n   two sets DISJOINT.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their messages.\n3. If their split gives you a disjoint set you can implement your feature with,\n   reply ACCEPT (echo the agreed `my_files`). Otherwise reply REVISE with a better\n   split and `coop-await` again. Repeat until you have RECEIVED an ACCEPT from your\n   partner AND sent your own ACCEPT.\n4. Only after you have received your partner's ACCEPT may you begin editing.\n\nPHASE 2 — IMPLEMENT:\n5. Edit ONLY the files in your agreed `my_files`. If you discover you genuinely must\n   touch a file your partner owns, send a REVISE and re-agree BEFORE touching it.\n6. Send DONE when your implementation is finished.\n\nThe whole point: agree a disjoint file split up front so your patches never collide\nat merge time.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['PROPOSE', 'ACCEPT', 'REVISE', 'DONE'], 'description': 'handshake message type'}, {'name': 'my_files', 'required': True, 'enum': None, 'description': 'comma-separated files YOU will own and edit'}, {'name': 'your_files', 'required': False, 'enum': None, 'description': 'comma-separated files you propose your PARTNER owns'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale'}]}",llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,13,0,True,13,0,True,13,0,,True,13,0,,328.991438,1.6952519999999995,69,Submitted,32,0.8626388999999999,6895,11872,1437773,38757,80,Submitted,37,0.8326130999999997,6905,9446,1559167,33743,77,10,4,1459,6,2606,3,,,,,3,,,2,,2,,,,,2026-07-07T21:41:21.030758,nano_hs_git_2/coop/llama_index_task/17244/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_hs_git_2,nano_hs_git,2,coop_git,claude-sonnet-5,claude_code,coop,structured,"{'name': 'plan_handshake_v1', 'instructions': ""Coordinate in TWO STRICT PHASES. Do NOT edit any file until Phase 1 is complete.\n\nPHASE 1 — PLAN & HANDSHAKE (messages only, NO editing yet):\n1. Immediately send a PROPOSE: `my_files` = the files YOU will own (from your\n   feature), `your_files` = the files you think your PARTNER should own. Keep the\n   two sets DISJOINT.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their messages.\n3. If their split gives you a disjoint set you can implement your feature with,\n   reply ACCEPT (echo the agreed `my_files`). Otherwise reply REVISE with a better\n   split and `coop-await` again. Repeat until you have RECEIVED an ACCEPT from your\n   partner AND sent your own ACCEPT.\n4. Only after you have received your partner's ACCEPT may you begin editing.\n\nPHASE 2 — IMPLEMENT:\n5. Edit ONLY the files in your agreed `my_files`. If you discover you genuinely must\n   touch a file your partner owns, send a REVISE and re-agree BEFORE touching it.\n6. Send DONE when your implementation is finished.\n\nThe whole point: agree a disjoint file split up front so your patches never collide\nat merge time.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['PROPOSE', 'ACCEPT', 'REVISE', 'DONE'], 'description': 'handshake message type'}, {'name': 'my_files', 'required': True, 'enum': None, 'description': 'comma-separated files YOU will own and edit'}, {'name': 'your_files', 'required': False, 'enum': None, 'description': 'comma-separated files you propose your PARTNER owns'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale'}]}",llama_index_task,18813,f1_f3,1,3,False,applied,applied,identical,skip-merge-identical,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,639.054305,1.6189356,73,Submitted,33,0.6792570000000001,6930,6470,1301570,28491,102,Submitted,40,0.9396785999999997,5121,7672,1717632,48991,102,8,4,1312,4,1381,3,,,,,2,,,2,,1,,,,,2026-07-07T21:49:09.378110,nano_hs_git_2/coop/llama_index_task/18813/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_hs_git_2,nano_hs_git,2,coop_git,claude-sonnet-5,claude_code,coop,structured,"{'name': 'plan_handshake_v1', 'instructions': ""Coordinate in TWO STRICT PHASES. Do NOT edit any file until Phase 1 is complete.\n\nPHASE 1 — PLAN & HANDSHAKE (messages only, NO editing yet):\n1. Immediately send a PROPOSE: `my_files` = the files YOU will own (from your\n   feature), `your_files` = the files you think your PARTNER should own. Keep the\n   two sets DISJOINT.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their messages.\n3. If their split gives you a disjoint set you can implement your feature with,\n   reply ACCEPT (echo the agreed `my_files`). Otherwise reply REVISE with a better\n   split and `coop-await` again. Repeat until you have RECEIVED an ACCEPT from your\n   partner AND sent your own ACCEPT.\n4. Only after you have received your partner's ACCEPT may you begin editing.\n\nPHASE 2 — IMPLEMENT:\n5. Edit ONLY the files in your agreed `my_files`. If you discover you genuinely must\n   touch a file your partner owns, send a REVISE and re-agree BEFORE touching it.\n6. Send DONE when your implementation is finished.\n\nThe whole point: agree a disjoint file split up front so your patches never collide\nat merge time.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['PROPOSE', 'ACCEPT', 'REVISE', 'DONE'], 'description': 'handshake message type'}, {'name': 'my_files', 'required': True, 'enum': None, 'description': 'comma-separated files YOU will own and edit'}, {'name': 'your_files', 'required': False, 'enum': None, 'description': 'comma-separated files you propose your PARTNER owns'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale'}]}",openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,1,0,True,1,0,True,1,0,,True,1,0,,190.942903,1.4759696999999998,59,Submitted,29,0.7502696999999999,6735,8864,1289809,35027,88,Submitted,30,0.7257,6737,8282,1277630,32995,88,9,4,1299,5,1829,3,,,,,3,,,2,,1,,,,,2026-07-07T21:45:06.586957,nano_hs_git_2/coop/openai_tiktoken_task/0/f2_f6,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
nano_hs_git_2,nano_hs_git,2,coop_git,claude-sonnet-5,claude_code,coop,structured,"{'name': 'plan_handshake_v1', 'instructions': ""Coordinate in TWO STRICT PHASES. Do NOT edit any file until Phase 1 is complete.\n\nPHASE 1 — PLAN & HANDSHAKE (messages only, NO editing yet):\n1. Immediately send a PROPOSE: `my_files` = the files YOU will own (from your\n   feature), `your_files` = the files you think your PARTNER should own. Keep the\n   two sets DISJOINT.\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their messages.\n3. If their split gives you a disjoint set you can implement your feature with,\n   reply ACCEPT (echo the agreed `my_files`). Otherwise reply REVISE with a better\n   split and `coop-await` again. Repeat until you have RECEIVED an ACCEPT from your\n   partner AND sent your own ACCEPT.\n4. Only after you have received your partner's ACCEPT may you begin editing.\n\nPHASE 2 — IMPLEMENT:\n5. Edit ONLY the files in your agreed `my_files`. If you discover you genuinely must\n   touch a file your partner owns, send a REVISE and re-agree BEFORE touching it.\n6. Send DONE when your implementation is finished.\n\nThe whole point: agree a disjoint file split up front so your patches never collide\nat merge time.\n"", 'fields': [{'name': 'type', 'required': True, 'enum': ['PROPOSE', 'ACCEPT', 'REVISE', 'DONE'], 'description': 'handshake message type'}, {'name': 'my_files', 'required': True, 'enum': None, 'description': 'comma-separated files YOU will own and edit'}, {'name': 'your_files', 'required': False, 'enum': None, 'description': 'comma-separated files you propose your PARTNER owns'}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale'}]}",pallets_click_task,2068,f1_f6,1,6,True,applied,applied,identical,skip-merge-identical,True,False,functional_fail,False,67,1,True,72,0,False,67,1,,True,72,0,,267.731289,2.7355196999999998,97,Submitted,50,1.4235080999999996,10435,13618,2841317,55923,178,Submitted,47,1.3120116000000002,10282,11540,2626532,53351,178,8,4,1417,4,1304,2,,,,,4,,,2,,,,,,,2026-07-07T21:48:48.147892,nano_hs_git_2/coop/pallets_click_task/2068/f1_f6,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
